,ring_id,datetime_trunc,year,reporting_type,dt,time,layer_1_vout,layer_1_concentration,layer_1_setpoint,layer_2_vout,layer_2_concentration,layer_2_setpoint,wind_speed,wind_direction,sector,O3_on,leaf_wetness,file_source,number_of_records,datetime,Range_flag,evaluator,replacement_value,explanation
223444,1, 2019-07-30 08:59:00 ,2019,M,7/30/2019,8:59:34,1.31,606,600,0,0,0,1.3,-11,1,0,1.49,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 08:59:34 ,wind_direction,YF,0,Inevitable negative value
223471,1, 2019-07-30 09:26:00 ,2019,M,7/30/2019,9:26:34,1.65,549,600,0,0,0,2.1,-12,1,0,1.67,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 09:26:34 ,wind_direction,YF,0,Inevitable negative value
223533,1, 2019-07-30 10:28:00 ,2019,M,7/30/2019,10:28:34,1.25,560,600,0,0,0,2.3,-8,1,0,1.54,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 10:28:34 ,wind_direction,YF,0,Inevitable negative value
223773,1, 2019-07-30 14:28:00 ,2019,M,7/30/2019,14:28:28,1.02,497,600,0,0,0,3.7,-8,1,0,1.42,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 14:28:28 ,wind_direction,YF,0,Inevitable negative value
224096,1, 2019-07-30 19:51:00 ,2019,M,7/30/2019,19:51:28,0,419,600,0,0,0,1.9,-9,1,0,2.13,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 19:51:28 ,wind_direction,YF,0,Inevitable negative value
224102,1, 2019-07-30 19:57:00 ,2019,M,7/30/2019,19:57:28,0,419,600,0,0,0,1.9,-12,1,0,2.12,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 19:57:28 ,wind_direction,YF,0,Inevitable negative value
224133,1, 2019-07-30 20:28:00 ,2019,M,7/30/2019,20:28:28,0,425,600,0,0,0,2,-11,1,0,2.12,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 20:28:28 ,wind_direction,YF,0,Inevitable negative value
224156,1, 2019-07-30 20:51:00 ,2019,M,7/30/2019,20:51:28,0,433,600,0,0,0,1.6,-10,1,0,2.14,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 20:51:28 ,wind_direction,YF,0,Inevitable negative value
224157,1, 2019-07-30 20:52:00 ,2019,M,7/30/2019,20:52:28,0,432,600,0,0,0,1.6,-14,1,0,2.15,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 20:52:28 ,wind_direction,YF,0,Inevitable negative value
224165,1, 2019-07-30 21:00:00 ,2019,M,7/30/2019,21:00:28,0,440,600,0,0,0,1.4,-10,1,0,2.11,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 21:00:28 ,wind_direction,YF,0,Inevitable negative value
224168,1, 2019-07-30 21:03:00 ,2019,M,7/30/2019,21:03:28,0,442,600,0,0,0,1.1,-8,1,0,2.11,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 21:03:28 ,wind_direction,YF,0,Inevitable negative value
224175,1, 2019-07-30 21:10:00 ,2019,M,7/30/2019,21:10:28,0,455,600,0,0,0,1.1,-11,1,0,2.15,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 21:10:28 ,wind_direction,YF,0,Inevitable negative value
224188,1, 2019-07-30 21:23:00 ,2019,M,7/30/2019,21:23:28,0,465,600,0,0,0,1,-10,1,0,2.14,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 21:23:28 ,wind_direction,YF,0,Inevitable negative value
224190,1, 2019-07-30 21:25:00 ,2019,M,7/30/2019,21:25:28,0,467,600,0,0,0,1.1,-11,1,0,2.14,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073019.csv,999, 2019-07-30 21:25:28 ,wind_direction,YF,0,Inevitable negative value
225364,1, 2019-07-31 16:59:00 ,2019,M,7/31/2019,16:59:07,2.05,632,600,0,0,0,3,-8,1,0,1.78,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073119.csv,1435, 2019-07-31 16:59:07 ,wind_direction,YF,0,Inevitable negative value
225776,1, 2019-07-31 23:51:00 ,2019,M,7/31/2019,23:51:07,0,459,600,0,0,0,1.3,-9,1,0,2.8,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_073119.csv,1435, 2019-07-31 23:51:07 ,wind_direction,YF,0,Inevitable negative value
225795,1, 2019-08-01 00:10:00 ,2019,M,8/1/2019,0:10:07,0,450,600,0,0,0,1.4,-11,1,0,2.8,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080119.csv,1426, 2019-08-01 00:10:07 ,wind_direction,YF,0,Inevitable negative value
225935,1, 2019-08-01 02:30:00 ,2019,M,8/1/2019,2:30:07,0,492,600,0,0,0,0,-14,1,0,2.83,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080119.csv,1426, 2019-08-01 02:30:07 ,wind_direction,YF,0,Inevitable negative value
225951,1, 2019-08-01 02:46:00 ,2019,M,8/1/2019,2:46:07,0,503,600,0,0,0,0,-8,1,0,2.86,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080119.csv,1426, 2019-08-01 02:46:07 ,wind_direction,YF,0,Inevitable negative value
225990,1, 2019-08-01 03:25:00 ,2019,M,8/1/2019,3:25:07,0,472,600,0,0,0,0,-13,1,0,2.84,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080119.csv,1426, 2019-08-01 03:25:07 ,wind_direction,YF,0,Inevitable negative value
226044,1, 2019-08-01 04:19:00 ,2019,M,8/1/2019,4:19:07,0,457,600,0,0,0,1.3,-22,1,0,2.77,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080119.csv,1426, 2019-08-01 04:19:07 ,wind_direction,YF,0,Inevitable negative value
226100,1, 2019-08-01 05:15:00 ,2019,M,8/1/2019,5:15:07,0,487,600,0,0,0,0.9,-12,1,0,2.73,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080119.csv,1426, 2019-08-01 05:15:07 ,wind_direction,YF,0,Inevitable negative value
226164,1, 2019-08-01 06:19:00 ,2019,M,8/1/2019,6:19:07,0,435,600,0,0,0,1.3,-8,1,0,2.23,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080119.csv,1426, 2019-08-01 06:19:07 ,wind_direction,YF,0,Inevitable negative value
226190,1, 2019-08-01 06:45:00 ,2019,M,8/1/2019,6:45:07,0,426,600,0,0,0,1.3,-20,1,0,2.12,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080119.csv,1426, 2019-08-01 06:45:07 ,wind_direction,YF,0,Inevitable negative value
227294,1, 2019-08-02 01:09:00 ,2019,M,8/2/2019,1:09:06,0,428,600,0,0,0,1,-11,2,0,4.4,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080219.csv,1432, 2019-08-02 01:09:06 ,wind_direction,YF,0,Inevitable negative value
227304,1, 2019-08-02 01:19:00 ,2019,M,8/2/2019,1:19:06,0,430,600,0,0,0,1.3,-14,2,0,4.41,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080219.csv,1432, 2019-08-02 01:19:06 ,wind_direction,YF,0,Inevitable negative value
227418,1, 2019-08-02 03:13:00 ,2019,M,8/2/2019,3:13:06,0,321,600,0,0,0,1.1,-12,2,0,4.44,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080219.csv,1432, 2019-08-02 03:13:06 ,wind_direction,YF,0,Inevitable negative value
228580,1, 2019-08-02 22:35:00 ,2019,M,8/2/2019,22:35:17,0,543,600,0,0,0,0,-9,2,0,0.99,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080219.csv,1432, 2019-08-02 22:35:17 ,wind_direction,YF,0,Inevitable negative value
228660,1, 2019-08-02 23:55:00 ,2019,M,8/2/2019,23:55:17,0,606,600,0,0,0,0,-10,2,0,0.98,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080219.csv,1432, 2019-08-02 23:55:17 ,wind_direction,YF,0,Inevitable negative value
228978,1, 2019-08-03 05:13:00 ,2019,M,8/3/2019,5:13:17,0,478,600,0,0,0,0.8,-13,2,0,0.99,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080319.csv,1440, 2019-08-03 05:13:17 ,wind_direction,YF,0,Inevitable negative value
228989,1, 2019-08-03 05:24:00 ,2019,M,8/3/2019,5:24:17,0,469,600,0,0,0,0.1,-11,2,0,0.99,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080319.csv,1440, 2019-08-03 05:24:17 ,wind_direction,YF,0,Inevitable negative value
237741,1, 2019-08-09 07:16:00 ,2019,M,8/9/2019,7:16:51,0,406,600,0,0,0,1.8,-8,1,0,0.98,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080919.csv,1023, 2019-08-09 07:16:51 ,wind_direction,YF,0,Inevitable negative value
237859,1, 2019-08-09 09:14:00 ,2019,M,8/9/2019,9:14:51,0,369,600,0,0,0,1.1,-10,4,0,0.95,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080919.csv,1023, 2019-08-09 09:14:51 ,wind_direction,YF,0,Inevitable negative value
238010,1, 2019-08-09 11:45:00 ,2019,M,8/9/2019,11:45:51,2.7,629,600,0,0,0,3.1,-9,1,0,2.07,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080919.csv,1023, 2019-08-09 11:45:51 ,wind_direction,YF,0,Inevitable negative value
238228,1, 2019-08-09 15:23:00 ,2019,M,8/9/2019,15:23:51,2.08,580,600,0,0,0,2.6,-8,1,0,1.87,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080919.csv,1023, 2019-08-09 15:23:51 ,wind_direction,YF,0,Inevitable negative value
238241,1, 2019-08-09 15:36:00 ,2019,M,8/9/2019,15:36:51,1,642,600,0,0,0,0.3,-13,3,0,1.39,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_080919.csv,1023, 2019-08-09 15:36:51 ,wind_direction,YF,0,Inevitable negative value
238871,1, 2019-08-10 02:06:00 ,2019,M,8/10/2019,2:06:51,0,889,600,0,0,0,0,-21,8,0,0.98,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081019.csv,1438, 2019-08-10 02:06:51 ,wind_direction,YF,0,Inevitable negative value
238888,1, 2019-08-10 02:23:00 ,2019,M,8/10/2019,2:23:51,0,905,600,0,0,0,0,-10,8,0,0.98,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081019.csv,1438, 2019-08-10 02:23:51 ,wind_direction,YF,0,Inevitable negative value
239099,1, 2019-08-10 05:54:00 ,2019,M,8/10/2019,5:54:51,0,544,600,0,0,0,0,-12,8,0,0.97,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081019.csv,1438, 2019-08-10 05:54:51 ,wind_direction,YF,0,Inevitable negative value
243675,1, 2019-08-13 10:10:00 ,2019,M,8/13/2019,10:10:35,2.19,579,600,0,0,0,3.4,-41,1,0,1.88,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081319.csv,1026, 2019-08-13 10:10:35 ,wind_direction,YF,0,Inevitable negative value
243691,1, 2019-08-13 10:26:00 ,2019,M,8/13/2019,10:26:35,2.53,572,600,0,0,0,4,-29,1,0,2.07,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081319.csv,1026, 2019-08-13 10:26:35 ,wind_direction,YF,0,Inevitable negative value
243738,1, 2019-08-13 11:13:00 ,2019,M,8/13/2019,11:13:35,2.2,606,600,0,0,0,3.1,-18,1,0,1.91,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081319.csv,1026, 2019-08-13 11:13:35 ,wind_direction,YF,0,Inevitable negative value
243772,1, 2019-08-13 11:47:00 ,2019,M,8/13/2019,11:47:35,2.31,611,600,0,0,0,3,-22,1,0,1.97,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081319.csv,1026, 2019-08-13 11:47:35 ,wind_direction,YF,0,Inevitable negative value
243816,1, 2019-08-13 12:31:00 ,2019,M,8/13/2019,12:31:35,2.22,544,600,0,0,0,1.8,-15,1,0,1.89,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081319.csv,1026, 2019-08-13 12:31:35 ,wind_direction,YF,0,Inevitable negative value
246501,1, 2019-08-15 09:16:00 ,2019,M,8/15/2019,9:16:30,2.71,573,600,0,0,0,3.4,-12,1,0,2.11,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081519.csv,1010, 2019-08-15 09:16:30 ,wind_direction,YF,0,Inevitable negative value
246600,1, 2019-08-15 10:55:00 ,2019,M,8/15/2019,10:55:30,2.28,579,600,0,0,0,2.1,-10,1,0,1.88,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081519.csv,1010, 2019-08-15 10:55:30 ,wind_direction,YF,0,Inevitable negative value
246613,1, 2019-08-15 11:08:00 ,2019,M,8/15/2019,11:08:30,2.61,567,600,0,0,0,3.6,-19,1,0,2.03,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081519.csv,1010, 2019-08-15 11:08:30 ,wind_direction,YF,0,Inevitable negative value
246827,1, 2019-08-15 14:42:00 ,2019,M,8/15/2019,14:42:30,2.39,562,600,0,0,0,2.1,-15,1,0,1.87,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_081519.csv,1010, 2019-08-15 14:42:30 ,wind_direction,YF,0,Inevitable negative value
255440,1, 2019-08-21 14:15:00 ,2019,M,8/21/2019,14:15:16,2.25,643,600,0,0,0,2.1,-20,1,0,1.88,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_082119.csv,526, 2019-08-21 14:15:16 ,wind_direction,YF,0,Inevitable negative value
256821,1, 2019-08-22 13:16:00 ,2019,M,8/22/2019,13:16:59,0,351,600,0,0,0,1.8,-13,7,0,4.1,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_082219.csv,871, 2019-08-22 13:16:59 ,wind_direction,YF,0,Inevitable negative value
256874,1, 2019-08-22 14:09:00 ,2019,M,8/22/2019,14:09:59,2.75,606,600,0,0,0,3,-13,1,0,2.1,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_082219.csv,871, 2019-08-22 14:09:59 ,wind_direction,YF,0,Inevitable negative value
257247,1, 2019-08-22 20:22:00 ,2019,M,8/22/2019,20:22:00,0,794,600,0,0,0,0,-8,2,0,2.86,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_082219.csv,871, 2019-08-22 20:22:00 ,wind_direction,YF,0,Inevitable negative value
257510,1, 2019-08-23 00:45:00 ,2019,M,8/23/2019,0:45:00,0,418,600,0,0,0,1.6,-14,2,0,2.88,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_082319.csv,1440, 2019-08-23 00:45:00 ,wind_direction,YF,0,Inevitable negative value
268016,1, 2019-08-30 07:51:00 ,2019,M,8/30/2019,7:51:29,0,0,600,0,0,0,2.8,-20,1,0,0.98,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_083019.csv,481, 2019-08-30 07:51:29 ,wind_direction,YF,0,Inevitable negative value
268229,1, 2019-08-30 11:24:00 ,2019,M,8/30/2019,11:24:30,2.13,621,600,0,0,0,1.8,-11,1,0,1.84,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_083019.csv,481, 2019-08-30 11:24:30 ,wind_direction,YF,0,Inevitable negative value
268262,1, 2019-08-30 11:57:00 ,2019,M,8/30/2019,11:57:30,1.63,658,600,0,0,0,2.3,-22,1,0,1.71,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_083019.csv,481, 2019-08-30 11:57:30 ,wind_direction,YF,0,Inevitable negative value
268306,1, 2019-08-30 12:41:00 ,2019,M,8/30/2019,12:41:30,1.91,556,600,0,0,0,1.8,-9,1,0,1.8,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_083019.csv,481, 2019-08-30 12:41:30 ,wind_direction,YF,0,Inevitable negative value
